user_id,cart_abandoned_date,last_order_date,avg_order_value,sessions_last_30d,num_cart_items,engagement_score,profitability_score
U001,9/18/2025,9/2/2025,4500,12,5,0.85,0.7
U002,9/16/2025,8/20/2025,1200,8,3,0.55,0.4
U003,9/15/2025,7/10/2025,300,2,1,0.2,0.1
U004,9/19/2025,9/10/2025,2500,15,4,0.75,0.65
U005,9/14/2025,5/1/2025,800,5,2,0.45,0.3
U006,9/17/2025,8/30/2025,6000,20,6,0.95,0.9
U007,9/13/2025,9/5/2025,1500,7,2,0.6,0.5
U008,9/12/2025,6/15/2025,400,3,1,0.3,0.2
U009,9/16/2025,9/1/2025,3500,10,4,0.8,0.75
U010,9/11/2025,7/25/2025,1000,6,2,0.5,0.35
